tsa;sku;unidades;ok;comentario
12530/2/0;0/0101/001/251/42;1;0;
4382/2/0;0/0101/001/710/46;1;0;
4379/2/0;0/0101/001/710/48;1;0;
4198/2/0;0/0130/011/500/42;1;0;
16494/2/0;0/0131/011/800/02;1;0;
4674/2/0;0/0131/011/800/02;1;0;
4155/2/0;0/0451/112/401/31;1;0;
4384/2/0;0/1935/262/406/02;1;0;
446/2/0;0/2021/256/802/02;1;0;
401/2/0;0/2032/262/600/03;1;0;
410/2/0;0/2046/274/407/03;2;0;
4200/2/0;0/2855/440/721/03;1;0;
401/2/0;0/2860/440/754/02;3;0;
4223/2/7;0/2860/440/754/02;2;0;
14911/1/0;0/5037/673/251/42;1;0;
4126/1/0;0/5062/766/722/42;1;0;
4112/1/0;0/5079/681/800/34;1;0;
401/1/0;0/5156/731/902/02;1;0;
16494/1/0;0/5180/732/800/04;1;0;
4265/1/0;0/5184/734/800/02;1;0;
412/1/0;0/5188/777/250/01;1;0;
421/1/0;0/5188/777/250/01;1;0;
4742/1/0;0/5188/777/250/01;1;0;
4224/1/0;0/5188/777/250/02;1;0;
4384/1/0;0/5188/777/250/02;2;0;
4135/1/0;0/5188/777/250/03;2;0;
429/1/7;0/5188/777/250/03;1;0;
435/1/0;0/5188/777/250/03;1;0;
4250/1/0;0/5188/777/500/01;1;0;
4265/1/0;0/5188/777/958/01;1;0;
4403/1/0;0/5188/777/958/01;3;0;
12523/1/0;0/5188/777/958/03;2;0;
402/1/0;0/5188/777/958/04;2;0;
4112/1/0;0/5188/777/958/04;1;0;
4265/1/0;0/5193/735/406/02;1;0;
12523/1/0;0/5274/509/250/34;1;0;
4221/1/0;0/6000/520/711/02;1;0;
4200/1/7;0/6057/679/400/01;1;0;
